text,sentiment
0,"I felt a great joy, after seeing this film, not because it is a master piece, but because it convinced me of, that the Portuguese cinema became really very good. We can see here the best Portuguese actores in this field.",1
1,"Henry Thomas showed a restraint, even when the third act turned into horrible hollywood resolution that could've killed this movie, that kept the dignity of a redemption story and as for pure creepiness-sniffing babies?",1
2,"I bought the video rather late in my collecting and probably would have saved a lot of money if I bought it earlier. It invariably supersedes anything else on those ""Cosmo's moon"" nights. Cher and Olympia certainly deserve their awards but this is really a flawless ensemble performance of a superb screenplay. What? You don't know what a ""Cosmo's moon"" is?",1
3,I really liked this movie despite one scene that was pretty bad (the one when Samantha and Nick are flirting in the hotel). The story is so cool and can't wait to read the book! Bravo for the super station!,1
4,"Great entertainment from start to the end. Wonderful performances by Belushi, Beach, Dalton & Railsback. Some twists and many action scenes. The movie was made for me! Funny lines in the screenplay, good music. Dalton as the tough sheriff and Railsback as ""redneck-villain"". I must recommend this film to every action-adventure fan! 10/10",1
5,"We don't have to lose this movie, this is one of the greatest I have ever seen. Jean Pierre Leaud is amazing (more than usual) and the movie is one of the most unforgettable of the nouvelle vogue. Jean Eustache is no more on this earth, we just have this black and white images to remember one of the greatest and most subvalued french directors. You just have to love this masterpiece. I'll never forget it.<br /><br />P.S.: sorry for the english...",1
6,"A dreary, hopelessly predictable film set in a most unpleasant setting (lower Coachella Valley). Acting is as amateurish as any I've seen. Looks like a screenwriting 101 script. However, it does function as a great sedative.",0
7,"I should have figured that any movie with the Poltergeist lady in it isn't going to be good. It actually starts out okay, but during the first murder scene you find out that the movie you're watching is a movie inside of a movie. There's people sitting in a movie theatre watching that movie. One girl in the audience is so annoying that I would have turned around and strangled her. A bit strange, but far from good.",0
8,"This was a big disappointment for me. I think this is the worst Mastroianni-movie ever made. Cosmatos tries too hard to make this movie a masterpiece and that makes this movie a typical ""art""-movie. I give 4/10 for this movie.",0
9,"We rented five movies for New Year's Eve weekend and watched this one first. All I can say is that there was no place to go but up after watching this one. It was pointless and vulgar. Harvey Keitel's script must have been easy to write -- just make two out every three words a curse word. Andie McDowell is surprisingly good in a character roll, but the movie has nothing else to recommend it.",0
10,"It's heart-warming to see a movie that doesn't bash males. In this one the wife/mother leaves her family to ""get in touch"" with herself - or pursue her libido. The father stays with and nurtures the kids, letting neither his work nor his love life interfere with his love of and responsibility to them.",1
11,Are you kidding that was AWFUL!!! <br /><br />But that notwithstanding I got given this film and 3 others and they were all on DVD. The film starts of pretty much an OK movie but goes downhill from about the middle onwards.<br /><br />And the ending well let's just say it was one of the most anti climatic endings in recent film history. Lots of gore in the end sequence and if you like a dose of schlock horror then this is the film for you....<br /><br />3/10,0
